Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 3113. Decay decreased to 0.997461
Episode 161 | Reward: 90.4 | Steps: 70 | Epsilon: 0.127 | Result: WIN | Decay: 0.991868 | Time: 0.0002s
Episode 162 | Reward: 43.79999999999969 | Steps: 338 | Epsilon: 0.126 | Result: WIN | Decay: 0.991868 | Time: 0.0009s
Episode 163 | Reward: 83.60000000000002 | Steps: 111 | Epsilon: 0.125 | Result: WIN | Decay: 0.991868 | Time: 0.0003s
Episode 164 | Reward: 89.00000000000003 | Steps: 75 | Epsilon: 0.124 | Result: WIN | Decay: 0.991868 | Time: 0.0002s
Episode 165 | Reward: 83.60000000000002 | Steps: 102 | Epsilon: 0.123 | Result: WIN | Decay: 0.991868 | Time: 0.0003s
Episode 166 | Reward: 75.99999999999996 | Steps: 160 | Epsilon: 0.122 | Result: WIN | Decay: 0.991868 | Time: 0.0006s
Episode 167 | Reward: 83.20000000000002 | Steps: 97 | Epsilon: 0.121 | Result: WIN | Decay: 0.991868 | Time: 0.0004s
Episode 168 | Reward: 78.99999999999997 | Steps: 148 | Epsilon: 0.120 | Result: WIN | Decay: 0.991868 | Time: 0.0004s
Episode 169 | Reward: 86.80000000000003 | Steps: 97 | Epsilon: 0.119 | Result: WIN | Decay: 0.991868 | Time: 0.0003s
Episode 170 | Reward: 85.20000000000002 | Steps: 95 | Epsilon: 0.118 | Result: WIN | Decay: 0.991868 | Time: 0.0002s
Episode 171 | Reward: 50.99999999999968 | Steps: 392 | Epsilon: 0.117 | Result: WIN | Decay: 0.991868 | Time: 0.0010s
Episode 172 | Reward: 84.20000000000003 | Steps: 114 | Epsilon: 0.116 | Result: WIN | Decay: 0.991868 | Time: 0.0003s
Episode 173 | Reward: 89.80000000000001 | Steps: 76 | Epsilon: 0.115 | Result: WIN | Decay: 0.991868 | Time: 0.0002s
Episode 174 | Reward: 79.8 | Steps: 131 | Epsilon: 0.114 | Result: WIN | Decay: 0.991868 | Time: 0.0003s
Episode 175 | Reward: 84.80000000000003 | Steps: 99 | Epsilon: 0.113 | Result: WIN | Decay: 0.991868 | Time: 0.0003s
Episode 176 | Reward: 90.00000000000001 | Steps: 83 | Epsilon: 0.113 | Result: WIN | Decay: 0.991868 | Time: 0.0002s
Episode 177 | Reward: 80.4 | Steps: 134 | Epsilon: 0.112 | Result: WIN | Decay: 0.991868 | Time: 0.0003s
Episode 178 | Reward: 86.60000000000002 | Steps: 108 | Epsilon: 0.111 | Result: WIN | Decay: 0.991868 | Time: 0.0003s
Episode 179 | Reward: 88.40000000000002 | Steps: 72 | Epsilon: 0.110 | Result: WIN | Decay: 0.991868 | Time: 0.0002s
